,id,text
0,S0107-07-14,그러나 자네에게는 반대로 얘기하겠네.
1,S0045-02-01,"제우스 신이 분노를 드러내거나 모략을 일삼는 그리스인들이 그대에게 분노의 말을 퍼붓는다면, 저는 공포와 두려움에 휩싸여 떱니다."
2,P0991-01-47,"나는 가끔 하늘에서 거대한 붉은빛이 내게로 달려드는, 이 엄숙하고 놀라운 일을 겪는다."
3,P0206-01-48,정적 속을 산책하는 일은 얼마나 좋았던가!
4,P0504-01-43,홀로 잠들기가 참말 외로와요
5,S0074-10-14,"돈, 일찍 알면 인생이 쉬워진다 했던 건 당신이야."
6,S0098-09-16,분명 이 동네 사람은 아닐 거야.
7,N0164-02-25,그 모친은 그 아들을 애지중하는 자손인 까닭에 상현이가 만일 어디를 가셔 돌아올 기한에 오지 않으면 심히 근심을 하여 문에 의지하여 기다리는 터인데 그날도 그 아들이 학교에 가서 늦도록 돌아오지 않아 단단히 염려를 하며 고대하던 중이었다.
8,N0215-01-21,사문 백법교는 중산 사람이다.
9,N0163-01-23,"에스터, 네가 다른 애들과 다른 것은, 너는 그 애들처럼 공통적인 죄악과 분노를 진 채 태어난 게 아니라는 점이다."
10,P1094-01-31,"피리 소리 들리고 바람이 온화한데 야생 매화 향기가 나고, 호숫가 난간에 기대어 보니 해가 점점 길어지네."
11,S0036-03-07,"제 영혼 한구석에는, 저에게는 잊을 수 없는 부인이며, 마리아네에게는 사랑하는 어머니인 그녀에게 외동딸의 경사를 같이하도록 전능하신 주님께서 허락하지 않으신 데 대한 허전함이 도사리고 있을 뿐입니다."
12,S0162-07-09,뒷일은 내가 책임을 질 테니 당신들은 절대 비겁하게 놀지 말아요.
13,N0294-07-51,이튿날 교장은 교장실에서 브레멘스키에게 차마 사실대로 이야기할 수 없어서 한동안 망설였다.
14,N0105-04-21,"환제가 그곳의 군국에게 억지로 그를 수레에 태워 도성으로 오게 했는데, 왕원은 고개를 숙이고 입을 다문 채 조령에 답하지 않았다."
15,N0112-08-24,그녀는 너무 놀란 표정으로 그 남자를 쳐다보았다.
16,P1109-01-50,눈이 막 개자 불국토 소식 있어 한 곡조 까마귀 울음으로 먼 길 배웅합니다.
17,N0089-01-26,"숲을 만들기 위해 아이들은 좋은 정보를 하나 얻었는데, 옛날 어느 집의 하인 출신으로 지금은 삼림 대장으로 일하는 아저씨에게 아이들은 어린 자작나무 가지와 가문비나무 가지를 가져다 달라고 부탁했고, 이 가지들은 실제로도 배달되었다."
18,S0105-03-10,궁궐 방을 늘 말끔히 치우는 당신들이군요.
19,N0221-01-29,"왕효백이 군대를 일으키자, 왕동정은 몹시 걱정하고 두려워했다."
20,P0708-01-33,궁궐 안에서 연회를 열어 주시니 임금의 기쁨이 만물을 덮어 환해라.
21,P0837-01-46,"이제 나는 이 세상에, 광막한, 광막한 바다에 홀로 있다."
22,P1078-01-44,가을날 붉은 연꽃 향 남은 곳 대자리에 있다가 비단 치마 살짝 들고는 고운 장식 한 배에 홀로 올랐네.
23,P0879-01-47,"미소년의 아름다운 몸은, 동현보다 뛰어나고 미자하보다도 출중하네."
24,N0096-05-30,깜짝 놀란 김에 그는 다음 단계로 나갔다.
25,P1209-01-46,"봄 새벽의 몹쓸 꿈 깨고 나면! 우짖는 까막까치, 놀란 소래, 너희들은 눈에 무엇이 보이느냐."
26,P0811-01-46,"오늘 밤 초저녁부터 비가 내리더니, 곧 스산한 바람이 깨어나 악의에 차, 느릅나무 꼭대기 가지들을 찢어 놓고 더욱 악을 쓰며, 호수를 괴롭혔네."
27,N0087-06-27,가엾은 사람!
28,S0100-05-10,"제가 입술이 마르도록 경을 외고 있는데, 한 마리밖에 안 남은 제 제물 닭을 놈이 가져갔습니다."
29,S0159-02-13,애 아버지가 가여워 죽겠어.
30,S0109-05-04,저 남자랑 누워 있었어 아무 말 안 하고 그냥.
31,N0262-03-22,그들의 웃음소리에는 늘 위태롭게 들리기는 해도 별것 아닌 기침 소리가 섞여 있었습니다.
32,N0198-04-21,후지와라는 고물 쪽에 램프를 걸면서 선택받지 못한 난파선에 작별을 고했다.
33,P0796-01-33,아!
34,N0094-02-31,"에구, 마릴라."
35,N0064-03-30,"으음 힘들어, 휴우 취했군, 취했어."
36,P1239-01-36,진정코 내가 바라던 하늘과 그 계절은 푸르고 맑은 내 가슴을 눈물로 스치고 한때 청춘과 바꾼 반항도 이젠 서적처럼 불타버렸다.
37,P1060-01-31,"부질없이 석류꽃이 봄을 놓친 걸 비웃었더니, 기약도 되기 전에 스러져 더욱 슬프게 하네."
38,P0521-01-43,당신이 계실 때에는 겨울밤이 쩌르더니 당신이 가신 뒤에는 여름밤이 길어요.
39,P0906-02-46,뉘우칠 줄 몰랐던가
40,N0133-02-27,그는 누구든 두려워했다.
41,S0052-03-17,신의 없는 배반자 엔디미언!
42,S0030-09-05,나를 다시 그런 생활로 돌아가게 해 다오.
43,S0131-03-16,"만약 크누트 브로비크 영감이 그 집을 소유하고 있었다면, 그는 그렇게 쉽게 불이 나도록 내버려 두지 않았을 거야."
44,N0258-05-51,박돌이는 소리 없이 눈을 휙 휩뜬다.
45,N0162-01-22,그러나 제 말이 채 떨어지기도 전에 무서워서 뺑소니를 친다.
46,P0815-01-47,울리는 종소리가 사람들에게는 들리지 않는다
47,N0132-03-31,"하늘의 운명이 불행하여 황제가 시름시름 앓기 시작하더니, 한 달이 다 가도록 병의 차도가 없었다."
